nan_loss_mean,nan_loss_std,nan_loss_skew,nan_loss_median,nan_loss_var,nan_loss_sem,nan_loss_max,nan_loss_min,test_not_well_mean,test_not_well_std,test_not_well_skew,test_not_well_median,test_not_well_var,test_not_well_sem,test_not_well_max,test_not_well_min,test_turn_bad_mean,test_turn_bad_std,test_turn_bad_skew,test_turn_bad_median,test_turn_bad_var,test_turn_bad_sem,test_turn_bad_max,test_turn_bad_min,sc_accuracy_mean,sc_accuracy_std,sc_accuracy_skew,sc_accuracy_median,sc_accuracy_var,sc_accuracy_sem,sc_accuracy_max,sc_accuracy_min,died_relu_mean,died_relu_std,died_relu_skew,died_relu_median,died_relu_var,died_relu_sem,died_relu_max,died_relu_min,vanish_gradient_mean,vanish_gradient_std,vanish_gradient_skew,vanish_gradient_median,vanish_gradient_var,vanish_gradient_sem,vanish_gradient_max,vanish_gradient_min,explode_gradient_mean,explode_gradient_std,explode_gradient_skew,explode_gradient_median,explode_gradient_var,explode_gradient_sem,explode_gradient_max,explode_gradient_min,nan_gradient_mean,nan_gradient_std,nan_gradient_skew,nan_gradient_median,nan_gradient_var,nan_gradient_sem,nan_gradient_max,nan_gradient_min,large_weight_mean,large_weight_std,large_weight_skew,large_weight_median,large_weight_var,large_weight_sem,large_weight_max,large_weight_min,nan_weight_mean,nan_weight_std,nan_weight_skew,nan_weight_median,nan_weight_var,nan_weight_sem,nan_weight_max,nan_weight_min,weight_change_little_mean,weight_change_little_std,weight_change_little_skew,weight_change_little_median,weight_change_little_var,weight_change_little_sem,weight_change_little_max,weight_change_little_min,decrease_acc_mean,decrease_acc_std,decrease_acc_skew,decrease_acc_median,decrease_acc_var,decrease_acc_sem,decrease_acc_max,decrease_acc_min,increase_loss_mean,increase_loss_std,increase_loss_skew,increase_loss_median,increase_loss_var,increase_loss_sem,increase_loss_max,increase_loss_min,cons_mean_weight_mean,cons_mean_weight_std,cons_mean_weight_skew,cons_mean_weight_median,cons_mean_weight_var,cons_mean_weight_sem,cons_mean_weight_max,cons_mean_weight_min,cons_std_weight_mean,cons_std_weight_std,cons_std_weight_skew,cons_std_weight_median,cons_std_weight_var,cons_std_weight_sem,cons_std_weight_max,cons_std_weight_min,nan_acc_mean,nan_acc_std,nan_acc_skew,nan_acc_median,nan_acc_var,nan_acc_sem,nan_acc_max,nan_acc_min,loss_mean,loss_std,loss_skew,loss_median,loss_var,loss_sem,loss_max,loss_min,acc_mean,acc_std,acc_skew,acc_median,acc_var,acc_sem,acc_max,acc_min,val_loss_mean,val_loss_std,val_loss_skew,val_loss_median,val_loss_var,val_loss_sem,val_loss_max,val_loss_min,val_acc_mean,val_acc_std,val_acc_skew,val_acc_median,val_acc_var,val_acc_sem,val_acc_max,val_acc_min
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.85138539,61.48897889,0.236276872,83,3780.894525,3.086043388,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.303840481,-0.541387051,-1,-1.7,-0.583095189,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.202190536,-0.309211831,-1.622038933,-0.05321193,-0.140675246,-0.167214151,-0.626457024,-0.069760127,0.064878758,0.02780979,-0.637440351,0.12785715,0.003484581,-0.017957394,0.08349815,-0.01073259,-0.200812146,-0.200900306,-1.032579422,-0.081440747,-0.071970792,-0.12107951,-0.510324597,-0.1183424,0.027319179,0.031489599,0.405048473,0.091428578,0.004679279,-0.021666987,0.074285716,-0.022857159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.85138539,61.48897889,0.236276872,83,3780.894525,3.086043388,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.303840481,-0.541387051,-1,-1.7,-0.583095189,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.202189081,-0.30921101,-1.6220415,-0.05321193,-0.140674618,-0.167213784,-0.626454282,-0.069758577,0.064878758,0.02780979,-0.637440351,0.12785715,0.003484581,-0.017957394,0.08349815,-0.01073259,-0.200812336,-0.200900416,-1.032570192,-0.081440747,-0.071970853,-0.121079559,-0.510324359,-0.118341923,0.027319179,0.031489599,0.405048473,0.091428578,0.004679279,-0.021666987,0.074285716,-0.022857159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.85138539,61.48897889,0.236276872,83,3780.894525,3.086043388,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.303840481,-0.541387051,-1,-1.7,-0.583095189,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.202189105,-0.309212245,-1.622044011,-0.05321193,-0.140675562,-0.167214336,-0.626456666,-0.069757981,0.064878758,0.02780979,-0.637440351,0.12785715,0.003484581,-0.017957394,0.08349815,-0.01073259,-0.200812098,-0.200900422,-1.032568235,-0.081440628,-0.071970857,-0.121079562,-0.510324001,-0.118341446,0.027319179,0.031489599,0.405048473,0.091428578,0.004679279,-0.021666987,0.074285716,-0.022857159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.85138539,61.48897889,0.236276872,83,3780.894525,3.086043388,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.303840481,-0.541387051,-1,-1.7,-0.583095189,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.20218963,-0.309211412,-1.622044041,-0.05321193,-0.140674926,-0.167213964,-0.626455713,-0.069760723,0.064878758,0.02780979,-0.637440351,0.12785715,0.003484581,-0.017957394,0.08349815,-0.01073259,-0.200812265,-0.200900191,-1.032564366,-0.081440628,-0.071970728,-0.121079458,-0.510323524,-0.118341684,0.027319179,0.031489599,0.405048473,0.091428578,0.004679279,-0.021666987,0.074285716,-0.022857159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.85138539,61.48897889,0.236276872,83,3780.894525,3.086043388,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,-1.303840481,-0.541387051,-1,-1.7,-0.583095189,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.20218994,-0.30921062,-1.622039017,-0.05321193,-0.14067432,-0.167213609,-0.626454282,-0.069760127,0.064878758,0.02780979,-0.637440351,0.12785715,0.003484581,-0.017957394,0.08349815,-0.01073259,-0.200811979,-0.200899678,-1.032579766,-0.081440747,-0.071970441,-0.121079229,-0.510323405,-0.118342519,0.027319179,0.031489599,0.405048473,0.091428578,0.004679279,-0.021666987,0.074285716,-0.022857159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25138539,60.5945517,-1.021511366,83,3780.094525,2.686043388,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1.58113883,0,-3,-2.5,-0.707106781,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.179184979,-0.074661652,-1.440526494,-0.139431121,-0.016455251,-0.062320122,-0.182007122,-0.162154956,0.062955686,-0.005598747,-0.034154879,0.07978022,-0.000888572,-0.032898146,0.04503661,0.03734434,-0.120908352,0.054002301,-1.595167909,-0.164321601,0.005580529,-0.007083598,-0.007637501,-0.201919556,0.004462031,0.009231388,-2.716546334,0.091428578,0.001577236,-0.031621161,-0.040000021,-0.080000013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25138539,60.5945517,-1.021511366,83,3780.094525,2.686043388,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1.58113883,0,-3,-2.5,-0.707106781,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.179184979,-0.07466167,-1.440525397,-0.139431479,-0.016455257,-0.06232013,-0.182007122,-0.162154598,0.062955686,-0.005598747,-0.034154879,0.07978022,-0.000888572,-0.032898146,0.04503661,0.03734434,-0.120908305,0.05400226,-1.595162092,-0.164320886,0.005580527,-0.007083617,-0.007637501,-0.201919556,0.004462031,0.009231388,-2.716546334,0.091428578,0.001577236,-0.031621161,-0.040000021,-0.080000013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25138539,60.5945517,-1.021511366,83,3780.094525,2.686043388,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1.58113883,0,-3,-2.5,-0.707106781,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.179184955,-0.074661669,-1.440526274,-0.139431121,-0.016455256,-0.06232013,-0.182007122,-0.162154837,0.062955686,-0.005598747,-0.034154879,0.07978022,-0.000888572,-0.032898146,0.04503661,0.03734434,-0.120908281,0.054002258,-1.59516679,-0.164321244,0.005580526,-0.007083618,-0.007637501,-0.201919436,0.004462031,0.009231388,-2.716546334,0.091428578,0.001577236,-0.031621161,-0.040000021,-0.080000013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25138539,60.5945517,-1.021511366,83,3780.094525,2.686043388,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1.58113883,0,-3,-2.5,-0.707106781,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.179185074,-0.074661579,-1.440527748,-0.139430048,-0.01645523,-0.062320089,-0.182007122,-0.162156148,0.062955686,-0.005598747,-0.034154879,0.07978022,-0.000888572,-0.032898146,0.04503661,0.03734434,-0.120908424,0.054002384,-1.595185469,-0.164324105,0.005580533,-0.007083561,-0.007637501,-0.201919079,0.004462031,0.009231388,-2.716546334,0.091428578,0.001577236,-0.031621161,-0.040000021,-0.080000013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.25138539,60.5945517,-1.021511366,83,3780.094525,2.686043388,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1.58113883,0,-3,-2.5,-0.707106781,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.54911839,50.32581451,0.244521334,73,2532.687607,2.525780228,169,0,0.528967254,0.641409584,0.814730921,0,0.411406254,0.032191424,2,0,4.534005038,6.192368824,0.800624032,0,38.34543165,0.310786082,17,0,0,0,0,0,0,0,0,0,-0.179185026,-0.074661632,-1.440526062,-0.139430883,-0.016455246,-0.062320113,-0.182007122,-0.162155314,0.062955686,-0.005598747,-0.034154879,0.07978022,-0.000888572,-0.032898146,0.04503661,0.03734434,-0.120908328,0.054002301,-1.595173685,-0.164322078,0.005580529,-0.007083598,-0.007637501,-0.201919436,0.004462031,0.009231388,-2.716546334,0.091428578,0.001577236,-0.031621161,-0.040000021,-0.080000013
