not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.6640402062733968,0.7733333,0.6481757766008377,0.7599999904632568

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,1,0,0.6549596953392028,0.8066667,0.6350828651587168,0.7799999713897705

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,2,0,0.6487694164117177,0.81333333,0.6229052811861038,0.7866666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,0.641644184589386,0.8,0.6656316184997558,0.7666666507720947

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,4,0,0.641186306476593,0.82,0.6250904856125513,0.7733333110809326

