not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,0,0,0.5936945577462515,0.8,0.6281944058338801,0.7933333516120911

False,True,0,0,0,False,False,False,False,False,0,False,0,0,2,0,1,0,0.587397030989329,0.81666666,0.6417289827267328,0.753333330154419

False,True,0,0,0,False,False,False,False,False,0,False,0,0,2,0,2,0,0.5882931232452393,0.78333336,0.6422831636667251,0.8066666722297668

False,True,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,0.5671030918757121,0.825,0.6312313922246298,0.7933333516120911

False,True,0,0,0,False,False,False,False,False,0,False,0,0,3,0,4,0,0.5740643620491028,0.80833334,0.6331544317801794,0.800000011920929

