not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,0,0,0.6975605070590973,0.775,0.6378149455785751,0.7933333516120911
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,1,0,0.6851063211758931,0.76666665,0.6219059878587723,0.7933333516120911
False,True,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,0.6856206973393758,0.78333336,0.6209752094745636,0.800000011920929
False,True,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,0.6743197560310363,0.7916667,0.6267254509528478,0.7933333516120911
False,True,0,0,0,False,False,False,False,False,0,False,0,0,3,0,4,0,0.6789388716220855,0.78333336,0.6245821350812912,0.7866666913032532
