not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,1.6316902939478557,0.22,0.6245295776923497,0.8066666722297668
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,1.584258116086324,0.22,0.6300422914822896,0.7799999713897705
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,1.5563089688618978,0.22666667,0.6404762256145478,0.7599999904632568
False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,1.5198269748687745,0.28,0.6558872020244598,0.7333333492279053
False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,4,0,1.489218684832255,0.29333332,0.6603720732529959,0.746666669845581
