not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.6743257761001586,0.76666665,0.6253708773851394,0.7866666913032532
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,0.6652994526757134,0.78333336,0.6404640386501949,0.7400000095367432
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,0.6577056401305729,0.7777778,0.6213359580437342,0.7866666913032532
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,3,0,0.642827836672465,0.8055556,0.6167976584037145,0.800000011920929
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,4,0,0.6429919507768419,0.8111111,0.6218496568997701,0.7799999713897705
