not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,0.655473013718923,0.78333336,0.6446615848938624,0.7599999904632568

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,0.6505805889765421,0.7777778,0.6351518114407857,0.7733333110809326

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,0.6399798499213325,0.79444444,0.6262786324818929,0.7866666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,3,0,0.6345440460575952,0.7888889,0.6303940049807231,0.7666666507720947

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,4,0,0.634640203581916,0.8055556,0.6208170866966247,0.7933333516120911

