not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,0,0,0.6713465837637583,0.76666665,0.6313491642475129,0.7733333110809326

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,1,0,0.6619392029444376,0.7866667,0.6271353598435719,0.7799999713897705

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,0.6471225182215373,0.81333333,0.6198668305079142,0.800000011920929

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,0.6468977530797323,0.7733333,0.6410672229528427,0.7866666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,4,0,0.6333070127169291,0.81333333,0.6198231202363967,0.7799999713897705

