not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,1.5896624294916788,0.50666666,0.6294591383139292,0.7733333110809326

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,1.5568983205159506,0.49333334,0.6366942278544108,0.7666666507720947

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,2,0,1.5217825317382812,0.50666666,0.6262593205769856,0.7866666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,3,0,1.5052128632863362,0.53333336,0.6328868738810222,0.753333330154419

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,4,0,1.4777684052785238,0.47333333,0.6367389317353567,0.746666669845581

