not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,2.2780825328826904,0.55333334,0.6563026003042857,0.7400000095367432

False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,1,0,2.208406082789103,0.56,0.7504608750343322,0.7066666483879089

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,2,0,2.133139293988546,0.56,0.9103720267613729,0.6333333253860474

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,3,0,2.0461777861913046,0.56,1.0838731447855632,0.5933333039283752

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,4,0,1.943796485265096,0.56,1.1943181864420573,0.6066666841506958

