not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,0,0,0,0,1.6033507378896077,0.5,0.6326408382256826,0.7866666913032532

False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,1,0,1.552424462636312,0.5133333,0.6408877911170324,0.753333330154419

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,2,0,1.5311695273717245,0.5133333,0.6452827960252762,0.7200000286102295

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,3,0,1.513512187798818,0.54,0.6637837046384811,0.699999988079071

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,4,0,1.485484964052836,0.52,0.6464814752340317,0.7133333086967468

