val_loss,val_accuracy,loss,accuracy
0.9434687193234762,0.5699999928474426,1.0913080413000924,0.42142856
0.9314905786514283,0.5933333039283752,0.9512334278651646,0.5157143
0.7556159845987955,0.6700000166893005,0.8900681131226675,0.5814286
0.6936498053868612,0.75,0.7836463924816677,0.6642857
0.6747848065694173,0.7733333110809326,0.7297902624947684,0.6957143
0.6124370010693868,0.7900000214576721,0.703342628138406,0.71
0.5763984735806783,0.7933333516120911,0.6457850452831814,0.7271429
0.5997467398643493,0.7566666603088379,0.6165267665045602,0.75285715
0.659991508324941,0.7433333396911621,0.6602917865344456,0.72
0.5264173058668772,0.79666668176651,0.6608999238695417,0.73142856
0.5122672979036967,0.8166666626930237,0.5711145520210266,0.7657143
0.5489775840441385,0.7766666412353516,0.5560878671918597,0.7828571
0.5095190040270487,0.8100000023841858,0.59476421049663,0.7442857
0.522379978497823,0.7766666412353516,0.5546115967205593,0.77428573
0.47817105730374654,0.7900000214576721,0.5388723874092102,0.7714286
0.46335695147514344,0.8066666722297668,0.515178873198373,0.7771429
0.4955151359240214,0.7699999809265137,0.5188451637540544,0.7871429
0.4800804197788239,0.7933333516120911,0.5144166336740766,0.7771429
0.45523598392804465,0.800000011920929,0.5826285188538688,0.74142855
0.4643400422732035,0.8033333420753479,0.5077579268387385,0.7828571
0.4358892305692037,0.8066666722297668,0.5001373069626944,0.7985714
0.45849201440811155,0.800000011920929,0.5243758085795811,0.7885714
0.43508976777394615,0.8100000023841858,0.48546662569046023,0.80142856
0.5596545203526815,0.7366666793823242,0.4995747486182622,0.7828571
0.4296448878447215,0.8133333325386047,0.5901438392911639,0.7442857
0.43798611958821615,0.79666668176651,0.5029617837497167,0.7885714
0.4347680910428365,0.8133333325386047,0.48697836552347457,0.80142856
0.44501173853874204,0.8133333325386047,0.4809457412787846,0.79285717
