not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc,loss,accuracy,val_loss,val_accuracy
False,False,0,0,0,False,False,False,False,False,0,False,0,0,1,0,0,0,2.4878069814046224,0.50666666,0.6175838512182236,0.8133333325386047

False,False,0,0,0,False,False,False,False,False,0,False,0,0,2,0,1,0,2.409676105181376,0.5,0.6531209210554759,0.7400000095367432

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,2,0,2.3008085775375364,0.5,0.8329137897491455,0.6733333468437195

False,False,0,0,0,False,False,False,False,False,0,False,0,0,3,0,3,0,2.085518922805786,0.5133333,1.1527788241704304,0.6399999856948853

False,False,0,0,0,False,False,False,False,False,0,False,0,0,4,0,4,0,1.7229595565795899,0.52666664,1.3363610871632894,0.6333333253860474

